text,label
"  We develop further the theory of integrable functions within the theory of
relative simplicial motivic measures. We provide a primitive change of
variables formula for this theory.
",math
"  A regular approach to accounting for initial correlations, which allows to go
beyond the unrealistic random phase (initial product state) approximation in
deriving the evolution equations, is suggested. An exact homogeneous equation
for a two-time equilibrium correlation function for the dynamical variables of
a subsystem interacting with a boson field (heat bath) is obtained. No
conventional approximation like RPA or Bogoliubov's principle of weakening of
initial correlations is used. The obtained equation takes into account the
initial correlations in the kernel governing its evolution. The solution to
this equation is found in the second order of the kernel expansion in the
electron-phonon interaction, which demonstrates that generally the initial
correlations influence the correlation function's evolution in time. It is
shown that this influence vanishes on a large timescale. The developed approach
is applied to the Fr\""ohlich polaron and the low-temperature polaron mobility
(which was under a long-time debate) is found with a correction due to initial
correlations.
",cond-mat
"  We study the spin transport in the low temperature regime (often referred to
as the precession-dominated regime) between a ferromagnetic Fermi liquid (FFL)
and a normal metal metallic Fermi liquid (NFL), also known as the F/N junction,
which is considered as one of the most basic spintronic devices. In particular,
we explore the propagation of spin waves and transport of magnetization through
the interface of the F/N junction where nonequilibrium spin polarization is
created on the normal metal side of the junction by electrical spin injection.
We calculate the probable spin wave modes in the precession-dominated regime on
both sides of the junction especially on the NFL side where the system is out
of equilibrium. Proper boundary conditions at the interface are introduced to
establish the transport of the spin properties through the F/N junction. A
possible transmission conduction electron spin resonance (CESR) experiment is
suggested on the F/N junction to see if the predicted spin wave modes could
indeed propagate through the junction. Potential applications based on this
novel spin transport feature of the F/N junction are proposed in the end.
",cond-mat
"  ISOCAM extragalactic mid-infrared deep surveys have detected a population of
strong IR emitters ten times more numerous than expected if there were no
evolution from z<0.2 (IRAS) up to the maximum redshift of these galaxies
(z=1.5). The mid-IR cosmic background produced by these galaxies (2.35+/-0.8 nW
m^-2 sr^-1, at 15 microns above 50 microJy) is larger than 30 per cent of the
energy radiated in the I band by the optical galaxies detected in the HDF,
which are two orders of magnitude more numerous. This fraction is much higher
than in the local universe (z<0.2) as probed by IRAS, where all integrated IR
emission from 8 to 1000 microns makes 30 per cent of the optical starlight.
Even assuming a conservative SED, they produce a major contribution to the 140
mu m DIRBE background measured by Hauser et al. (1998, 25.1+/-7 nW m^-2 sr^-1)
and Lagache et al. (1999, 15.3+/-9.5 nW m^ -2 sr^-1). This is both a
confirmation of the strong IR cosmic background that was first detected by
Puget et al. (1996) and the first identification of the galaxies responsible
for a large fraction of this background at 140 microns. We find that these
bright (several 10^11 Lsol) and massive (<M>= 1.5x10^11 Msol) IR galaxies have
a typical redshift of z=0.7 and optical colors similar to field galaxies. The
fraction of galaxies with morphological signs of interactions is larger at
higher redshift. This is consistent with the nature of local luminous IR
galaxies found by IRAS, which often exhibit evidence of galaxy interaction or
merging and indicates that interactions should play a crucial role in the
evolution of galaxies as expected from bottom-up scenarios.
",astro-ph
"  A unified response theory for the time-resolved nonlinear light generation
and two-photon photoemission (2PPE) from metal surfaces is presented. The
theory allows to describe the dependence of the nonlinear optical response and
the photoelectron yield, respectively, on the time dependence of the exciting
light field. Quantum-mechanical interference effects affect the results
significantly. Contributions to 2PPE due to the optical nonlinearity of the
surface region are derived and shown to be relevant close to a plasmon
resonance. The interplay between pulse shape, relaxation times of excited
electrons, and band structure is analyzed directly in the time domain. While
our theory works for arbitrary pulse shapes, we mainly focus on the case of two
pulses of the same mean frequency. Difficulties in extracting relaxation rates
from pump-probe experiments are discussed, for example due to the effect of
detuning of intermediate states on the interference. The theory also allows to
determine the range of validity of the optical Bloch equations and of
semiclassical rate equations, respectively. Finally, we discuss how collective
plasma excitations affect the nonlinear optical response and 2PPE.
",cond-mat
"  The magnetic properties of as-grown Ga$_{1-x}$Mn$_{x}$As have been
investigated by the systematic measurements of temperature and magnetic field
dependent soft x-ray magnetic circular dichroism (XMCD). The {\it intrinsic}
XMCD intensity at high temperatures obeys the Curie-Weiss law, but residual
spin magnetic moment appears already around 100 K, significantly above Curie
temperature ($T_C$), suggesting that short-range ferromagnetic correlations are
developed above $T_C$. The present results also suggest that antiferromagnetic
interaction between the substitutional and interstitial Mn (Mn$_{int}$) ions
exists and that the amount of the Mn$_{int}$ affects $T_C$.
",cond-mat
"  Many computational problems admit fast algorithms on special inputs, however,
the required properties might be quite restrictive. E.g., many graph problems
can be solved much faster on interval or cographs, or on graphs of small
modular-width or small tree-width, than on general graphs. One challenge is to
attain the greatest generality of such results, i.e., being applicable to less
restrictive input classes, without losing much in terms of running time.
  Building on the use of algebraic expressions we present a clean and robust
way of combining such homogeneous structure into more complex heterogeneous
structure, and we show-case this for the combination of modular-width,
tree-depth, and a natural notion of modular tree-depth. We give a generic
framework for designing efficient parameterized algorithms on the created graph
classes, aimed at getting competitive running times that match the homogeneous
cases. To show the applicability we give efficient parameterized algorithms for
Negative Cycle Detection, Vertex-Weighted All-Pairs Shortest Paths, and
Triangle Counting.
",cs
"  The generalized Einstein Hilbert action is an extension of the classic scalar
curvature energy and Perelman F functional which incorporates a closed
three-form. The critical points are known as generalized Ricci solitons, which
arise naturally in mathematical physics, complex geometry, and generalized
geometry. Through a delicate analysis of the group of generalized gauge
transformations, and implementing a novel connection, we give a simple formula
for the second variation of this energy which generalizes the Lichnerowicz
operator in the Einstein case. As an application, we show that all Bismut flat
manifolds are linearly stable critical points, and admit nontrivial
deformations arising from Lie theory. Furthermore, this leads to extensions of
classic results of Koiso and Podesta, Spiro, Kr\""oncke to the moduli space of
generalized Ricci solitons. To finish we classify deformations of the
Bismut-flat structure on S3 and show that some are integrable while others are
not.
",math
"  We investigate the quantum many-body instabilities of the extended Hubbard
model for spinless fermions on the honeycomb lattice with repulsive
nearest-neighbor and 2nd nearest-neighbor density-density interactions. Recent
exact diagonalization and infinite density matrix renormalization group results
suggest that a putative topological Mott insulator phase driven by the 2nd
nearest-neighbor repulsion is suppressed, while other numerically exact
approaches support the topological Mott insulator scenario. In the present
work, we employ the functional renormalization group (fRG) for correlated
fermionic systems. Our fRG results hint at a strong suppression of the
scattering processes stabilizing the topological Mott insulator. From analyzing
the effects of fermionic fluctuations, we obtain a phase diagram which is the
result of the competition of various charge ordering instabilities.
",cond-mat
"  The second order (in time) Schrodinger equation is proposed. The additional
term (in comparison to Schrodinger equation) describes the interaction of
particles with vacuum filled with virtual particle-antiparticle pairs
(zitterbewegung). Key words: Schrodinger equation; Nanoscience; Zitterbewegung.
",cond-mat
"  A reported weakness of C4.5 in domains with continuous attributes is
addressed by modifying the formation and evaluation of tests on continuous
attributes. An MDL-inspired penalty is applied to such tests, eliminating some
of them from consideration and altering the relative desirability of all tests.
Empirical trials show that the modifications lead to smaller decision trees
with higher predictive accuracies. Results also confirm that a new version of
C4.5 incorporating these changes is superior to recent approaches that use
global discretization and that construct small trees with multi-interval
splits.
",cs
"  Let $ F $ be a finite field and consider $ UT_n $ the algebra of $ n\times n
$ upper triangular matrices over $ F $. In [1], it was proved that every $ G
$-grading is elementary. In [2], the authors classified all nonisomorphic
elementary $ G $-gradings. They also described the set of all $G $-graded
polynomial identities for $ UTn $ when $ F $ is an infinite field. In [3], was
described the all $ G $-graded polynomial identities for $ UT_n $ when $ F $ is
a finite field. In this work, we will discuss the case when $G = \mathbb{Z}_2$,
$ n=2, 3 $ and $ F $ is a finite field.
",math
"  How to observe the state of a network from a limited number of measurements
has become an important issue in complex networks, engineering, communication,
epidemiology, etc. Under some scenarios, it is neither unfeasible nor
unnecessary to observe the entire network. Therefore, we investigate the target
observation of a network in this paper. We propose a target minimal dominating
set problem corresponding to target observation, which is a natural
generalization of classical minimal dominating set problem. Three algorithms
are proposed to approximate the minimum set of occupied nodes sufficient for
target observation. Extensive numerical results on computer-generated random
networks and real-world networks demonstrate that the proposed algorithms offer
superior performance in identification of a target minimal dominating set.
",physics
"  The aim of this paper is to develop new optimized Schwarz algorithms for the
one dimensional Schr{\""o}dinger equation with linear or nonlinear potential.
After presenting the classical algorithm which is an iterative process, we
propose a new algorithm for the Schr{\""o}dinger equation with time-independent
linear potential. Thanks to two main ingredients (constructing explicitly the
interface problem and using a direct method on the interface problem), the new
algorithm turns to be a direct process. Thus, it is free to choose the
transmission condition. Concerning the case of time-dependent linear potential
or nonlinear potential, we propose to use a pre-processed linear operator as
preconditioner which leads to a preconditioned algorithm. Numerically , the
convergence is also independent of the transmission condition. In addition,
both of these new algorithms implemented in parallel cluster are robust,
scalable up to 256 sub domains (MPI process) and take much less computation
time than the classical one, especially for the nonlinear case.
",math
"  Deep learning has been widely recognized as a promising approach in different
computer vision applications. Specifically, one-stage object detector and
two-stage object detector are regarded as the most important two groups of
Convolutional Neural Network based object detection methods. One-stage object
detector could usually outperform two-stage object detector in speed; However,
it normally trails in detection accuracy, compared with two-stage object
detectors. In this study, focal loss based RetinaNet, which works as one-stage
object detector, is utilized to be able to well match the speed of regular
one-stage detectors and also defeat two-stage detectors in accuracy, for
vehicle detection. State-of-the-art performance result has been showed on the
DETRAC vehicle dataset.
",cs
"  We use HAWK-I, the recently-commissioned near-IR imager on Yepun (VLT-UT4),
to obtain wide-field, high-resolution images of the X-ray luminous galaxy
cluster XMMU J2235.3-2557 in the J and Ks bands, and we use these images to
build a colour-magnitude diagram of cluster galaxies. Galaxies in the core of
the cluster form a tight red sequence with a mean J-Ks colour of 1.9 (Vega
system). The intrinsic scatter in the colour of galaxies that lie on the red
sequence is similar to that measured for galaxies on the red sequence of the
Coma cluster. The slope and location of the red sequence can be modelled by
passively evolving the red sequence of the Coma cluster backwards in time.
Using simple stellar population (SSP) models, we find that galaxies in the core
of XMMU J2235.3-2557 are, even at z=1.39, already 3 Gyr old, corresponding to a
formation redshift of z ~ 4. Outside the core, the intrinsic scatter and the
fraction of galaxies actively forming stars increase substantially. Using SSP
models, we find that most of these galaxies will join the red sequence within
1.5 Gyr. The contrast between galaxies in the cluster core and galaxies in the
cluster outskirts indicates that the red sequence of XMMU J2235.3-2557 is being
built from the dense cluster core outwards.
",astro-ph
"  We show how Chern classes of a Calabi Yau hypersurface in a toric Fano
manifold can be expressed in terms of the holomorphic at a maximal degeneracy
point period of its mirror. We also consider the relation between Chern classes
and the periods of mirrors for complete intersections in Grassmanian Gr(2,5).
",math
"  We present the results from a spectroscopic survey for intervening MgII
absorption in the spectra of 381 background QSOs conducted at the Multiple
Mirror Telescope. This survey complements our earlier SDSS EDR MgII survey,
extending our results to lower redshift ($z \simeq 0.15$) and weaker MgII
$\lambda2796$ rest equivalent width ($W_0^{\lambda2796} \simeq 0.1$\AA). We
confirm two major results from that survey: the transition in the
$W_0^{\lambda2796}$ distribution at $W_0^{\lambda2796} \approx 0.3$\AA, and the
$W_0^{\lambda2796}$-dependent evolution of the incidence of systems. The nature
of $\partial^2N/\partial z \partial W_0^{\lambda2796}$ is consistent with the
idea that multiple physically-distinct components/processes contribute to the
incidence of MgII absorption systems in a $W_0$-dependent manner and evolve at
different rates. A significant decrease in the total proper absorption cross
section is detected in our MMT data for systems as weak as 1.0 \AA $\le
W_0^{\lambda2796} < 1.5$\AA at $z\lesssim 0.4$. We discuss this $W_0$-dependent
evolution in the context of the evolution of galaxy structures, processes
including superwinds and interactions, and damped-Ly$\alpha$ absorbers. We also
consider the possibility that the observed redshift and $W_0^{\lambda2796}$
dependence of the incidence of absorption in spectroscopic surveys for
low-ion/neutral gas results from the effects of dust-induced extinction.
",astro-ph
"  We study connections between self-inversive and self-reciprocal polynomials,
reduction theory of binary forms, minimal models of curves, and formally
self-dual codes. We prove that if $\mathcal X$ is a superelliptic curve defined
over $\mathbb C$ and its reduced automorphism group is nontrivial or not
isomorphic to a cyclic group, then we can write its equation as $y^n = f(x)$ or
$y^n = x f(x)$, where $f(x)$ is a self-inversive or self-reciprocal polynomial.
Moreover, we state a conjecture on the coefficients of the zeta polynomial of
extremal formally self-dual codes.
",math
"  Several supernovae (SNe) with an unusually dense circumstellar medium (CSM)
have been recently observed at radio frequencies. Their radio emission is
powered by relativistic electrons that can be either accelerated at the SN
shock (primaries) or injected as a by-product (secondaries) of inelastic
proton-proton collisions. We investigate the radio signatures from secondary
electrons, by detailing a semi-analytical model to calculate the temporal
evolution of the distributions of protons, primary and secondary electrons.
With our formalism, we track the cooling history of all the particles that have
been injected into the emission region up to a given time, and calculate the
resulting radio spectra and light curves. For a SN shock propagating through
the progenitor wind, we find that secondary electrons control the early radio
signatures, but their contribution decays faster than that of primary
electrons. This results in a flattening of the light curve at a given radio
frequency that depends only upon the radial profiles of the CSM density and of
the shock velocity, $v_0$. The relevant transition time at the peak frequency
is $\sim 190 \, K_{\rm ep,-3}^{-1} A_{\rm w, 16} \beta_{0, -1.5}^{-2}\,{\rm
d}$, where $A_{\rm w}$ is the wind mass-loading parameter, $\beta_0=v_0/c$ and
$K_{\rm ep}$ is the electron-to-proton ratio of accelerated particles. We
explicitly show that late peak times at 5 GHz (i.e., $t_{\rm pk} \gtrsim
300-1000$ d) suggest a shock wave propagating in a dense wind ($A_{\rm w}
\gtrsim 10^{16}-10^{17}$ gr cm$^{-1}$), where secondary electrons are likely to
power the observed peak emission.
",astro-ph
"  We study the mathematical theory of second order systems with two species,
arising in the dynamics of interacting particles subject to linear damping, to
nonlocal forces and to external ones, and resulting into a nonlocal version of
the compressible Euler system with linear damping. Our results are limited to
the $1$ space dimensional case but allow for initial data taken in a
Wasserstein space of probability measures. We first consider the case of smooth
nonlocal interaction potentials, not subject to any symmetry condition, and
prove existence and uniqueness. The concept of solutions relies on a stickiness
condition in case of collisions, in the spirit of previous works in the
literature. The result uses concepts from classical Hilbert space theory of
gradient flows (cf. Brezis [7]) and a trick used in [4]. We then consider a
large-time and large-damping scaled version of our system and prove convergence
to solutions to the corresponding first order system. Finally, we consider the
case of Newtonian potentials -- subject to symmetry of the cross-interaction
potentials -- and external convex potentials. After showing existence in the
sticky particles framework in the spirit of [4], we prove convergence for large
times towards Dirac delta solutions for the two densities. All the results
share a common technical framework in that solutions are considered in a
Lagrangian framework, which allows to estimate the behavior of solutions via
$L^2$ estimates of the pseudo-inverse variables corresponding to the two
densities. In particular, due to this technique, the large-damping result holds
under a rather weak condition on the initial data, which does not require
well-prepared initial velocities. We complement the results with numerical
simulations.
",math
"  The silicon (Si) based spin-MOSFET (metal-oxide semiconductor field-effect
transistor) is considered to be the building block of low-power-consumption
electronics, utilizing spin-degrees of freedom in semiconductor devices. In
this paper, we review the latest results on the spin transport in nanoscale
Si-based spin-valve devices, which is important to realize the nanoscale
spin-MOSFET. Our results demonstrate the importance of ballistic transport in
obtaining high spin-dependent output voltage in nanoscale Si spin-valve
devices.
",cond-mat
"  Studies of the diffuse Galactic radio emission are interesting both for
better understanding the physical conditions in our Galaxy and for minimising
the contamination in cosmological measurements. Motivated by this we present
Cosmic Background Imager 31 GHz observations of the Galactic regions NGC 6357,
NGC 6334, W51 and W40 at $\sim$4$'$.5 resolution and conduct an investigation
of the spectral emission process in the regions at 4$'$.5 and 1$^{\circ}$
resolution. We find that most of the emission in the regions is due to
optically thin free-free. For 2 sub-regions of NGC 6334 and for a sub-region of
W51 though, at 4$'$.5 resolution and at 31 GHz we detect less emission than
expected from extrapolation of radio data at lower frequencies assuming a
spectral index of $-$0.12 for optically thin free-free emission, at
3.3$\sigma$, 3.7$\sigma$ and 6.5$\sigma$ respectively. We also detect excess
emission in a sub-region of NCG 6334 at 6.4$\sigma$, after ruling out any
possible contribution from Ultra Compact HII (UCHII) regions. At 1$^{\circ}$
resolution we detect a spinning dust component in the Spectral Energy
Distribution (SED) of W40 that accounts for 18$\pm$7 % of the total flux
density in the region at the peak frequency of 37 GHz. Comparison with 100
${\rm \mu m}$ data indicate an average dust emissivity for the sub-regions of
$0.5\pm4.4$ $\mu$K(MJy sr$^{-1}$)$^{-1}$. Finally we translate the excess
emission in the regions to an Anomalous Microwave Emission (AME) emissivity
relative to the optical depth at 250 ${\rm \mu m }$. We find that this form of
emissivity is independent of the AME significance and has a value somewhere in
the order of 10$^4$ Jy.
",astro-ph
"  In this paper, we study the large time behavior of solutions to the
compressible magnetohydrodynamic equations in the $L^p$-type critical Besov
spaces. Precisely, we show that if the initial data in the low frequencies
additionally belong to some Besov space $\dot{B}_{2,\infty}^{-\sigma_1}$ with
$\sigma_1\in (1-N/2, 2N/p-N/2]$, then the $\dot{B}_{p,1}^0$ norm of the
critical global solutions presents the optimal decay
$t^{-\frac{N}{2}(\frac{1}{2}-\frac{1}{p})-\frac{\sigma_1}{2}}$ for
$t\rightarrow+\infty$. The pure energy argument without the spectral analysis
is performed, which allows us to remove the usual smallness assumption of low
frequencies.
",math
"  BEE is a compiler which facilitates solving finite domain constraints by
encoding them to CNF and applying an underlying SAT solver. In BEE constraints
are modeled as Boolean functions which propagate information about equalities
between Boolean literals. This information is then applied to simplify the CNF
encoding of the constraints. We term this process equi-propagation. A key
factor is that considering only a small fragment of a constraint model at one
time enables to apply stronger, and even complete reasoning to detect
equivalent literals in that fragment. Once detected, equivalences propagate to
simplify the entire constraint model and facilitate further reasoning on other
fragments. BEE is described in several recent papers. In this paper, after a
quick review of BEE, we elaborate on two undocumented details of the
implementation: the hybrid encoding of cardinality constraints and complete
equi-propagation. We thendescribe on-going work aimed to extend BEE to consider
binary representation of numbers.
",cs
"  We analyze some local properties of sparse Erdos-Renyi graphs, where $d(n)/n$
is the edge probability. In particular we study the behavior of very short
paths. For $d(n)=n^{o(1)}$ we show that $G(n,d(n)/n)$ has asymptotically almost
surely (a.a.s.~) bounded local treewidth and therefore is a.a.s.~nowhere dense.
We also discover a new and simpler proof that $G(n,d/n)$ has a.a.s.~bounded
expansion for constant~$d$. The local structure of sparse Erdos-Renyi Gaphs is
very special: The $r$-neighborhood of a vertex is a tree with some additional
edges, where the probability that there are $m$ additional edges decreases
with~$m$. This implies efficient algorithms for subgraph isomorphism, in
particular for finding subgraphs with small diameter. Finally we note that
experiments suggest that preferential attachment graphs might have similar
properties after deleting a small number of vertices.
",cs
"  Predicting an athlete's performance based on short footage is highly
challenging. Performance prediction requires high domain knowledge and enough
evidence to infer an appropriate quality assessment. Sports pundits can often
infer this kind of information in real-time. In this paper, we propose
regressing an ultra-distance runner cumulative race time (CRT), i.e., the time
the runner has been in action since the race start, by using only a few seconds
of footage as input. We modified the I3D ConvNet backbone slightly and trained
a newly added regressor for that purpose. We use appropriate pre-processing of
the visual input to enable transfer learning from a specific runner. We show
that the resulting neural network can provide a remarkable performance for
short input footage: 18 minutes and a half mean absolute error in estimating
the CRT for runners who have been in action from 8 to 20 hours. Our methodology
has several favorable properties: it does not require a human expert to provide
any insight, it can be used at any moment during the race by just observing a
runner, and it can inform the race staff about a runner at any given time.
",cs
"  Memristors as emergent nano-electronic devices have been successfully
fabricated and used in non-conventional and neuromorphic computing systems in
the last years. Several behavioral or physical based models have been developed
to explain their operation and to optimize their fabrication parameters. All
existing memristor models are trade-offs between accuracy, universality and
realism, but, to the best of our knowledge, none of them is purely
characterized as quantum mechanical, despite the fact that quantum mechanical
processes are a major part of the memristor operation. In this paper, we employ
quantum mechanical methods to develop a complete and accurate filamentary model
for the resistance variation during memristor's operating cycle. More
specifically, we apply quantum walks to model and compute the motion of atoms
forming the filament, tight-binding Hamiltonians to capture the filament
structure and the Non-Equilibrium Green's Function (NEGF) method to compute the
conductance of the device. Furthermore, we proceeded with the parallelization
of the overall model through Graphical Processing Units (GPUs) to accelerate
our computations and enhance the model's performance adequately. Our simulation
results successfully reproduce the resistive switching characteristics of
memristors devices, match with existing fabricated devices experimental data,
prove the efficacy and robustness of the proposed model in terms of
multi-parameterization, and provide a new and useful insight into its
operation.
",cs
"  Gamma-ray burst remnants become trans-relativistic typically in days to tens
of days, and they enter the deep Newtonian phase in tens of days to months,
during which the majority of shock-accelerated electrons will no longer be
highly relativistic. However, a small portion of electrons are still
accelerated to ultra-relativistic speeds and capable of emitting synchrotron
radiation. The distribution function for electrons is re-derived here so that
synchrotron emission from these relativistic electrons can be calculated. Based
on the revised model, optical afterglows from both isotropic fireballs and
highly collimated jets are studied numerically, and compared to analytical
results. In the beamed cases, it is found that, in addition to the steepening
due to the edge effect and the lateral expansion effect, the light curves are
universally characterized by a flattening during the deep Newtonian phase.
",astro-ph
